donor_id,donor_name,structure_acronym,mip_1a_pg_per_mg,rantes_pg_per_mg
309335484,H14.09.047,PCx,16.24,65.28
326765674,H14.09.087,FWM,9.73,24.37
309335492,H14.09.055,PCx,9.18,36.28
309335497,H14.09.060,TCx,6.44,18.76
326765660,H14.09.073,PCx,12.73,73.61
326765651,H14.09.064,HIP,28.82,13.56
309335461,H14.09.024,HIP,12.76,9.86
467056397,H15.09.104,HIP,26.13,7.06
309335476,H14.09.039,PCx,17.78,68.58
326765658,H14.09.071,HIP,19.72,8.36
309335478,H14.09.041,HIP,0.27,0.1082
326765662,H14.09.075,PCx,21.12,124.74
309335440,H14.09.003,TCx,15,67.32
309335494,H14.09.057,HIP,4.48,3.46
326765657,H14.09.070,PCx,5.86,10.03
326765663,H14.09.076,TCx,18.88,153.78
467056406,H15.09.107,HIP,71.14,14.19
309335490,H14.09.053,HIP,19.38,10.42
309335446,H14.09.009,FWM,,
309335449,H14.09.012,HIP,20.58,14.12
326765680,H14.09.093,FWM,9.69,56.64
309335460,H14.09.023,HIP,16.08,5.76
309335477,H14.09.040,PCx,18.2,64.36
309335452,H14.09.015,PCx,7.62,29.14
326765649,H14.09.062,HIP,,
309335477,H14.09.040,FWM,9.74,18.5
326765671,H14.09.084,HIP,227.34,17.68
309335487,H14.09.050,PCx,9.9,37.7
309335475,H14.09.038,PCx,,
467056409,H15.09.110,TCx,9.5,20.32
309335491,H14.09.054,TCx,12.56,78.46
309335475,H14.09.038,FWM,,
467056406,H15.09.107,TCx,,
326765651,H14.09.064,PCx,10.24,28.38
309335487,H14.09.050,TCx,6.96,35.92
309335495,H14.09.058,HIP,27,13.36
326765655,H14.09.068,FWM,3.34,34.93
309335494,H14.09.057,PCx,14.46,87.3
326765686,H14.09.099,FWM,12.73,51.02
326765687,H14.09.100,HIP,27,9.22
326765688,H14.09.101,TCx,,
467056407,H15.09.108,HIP,23.91,13.81
309335439,H14.09.002,PCx,12.74,45.94
309335486,H14.09.049,FWM,23.62,131.3
326765681,H14.09.094,PCx,15.6,46.38
326765684,H14.09.097,FWM,8.92,34.72
309335441,H14.09.004,PCx,6.28,17.04
326765689,H14.09.102,TCx,,
309335446,H14.09.009,HIP,118.82,21.28
309335460,H14.09.023,PCx,5.46,3.74
309335458,H14.09.021,FWM,3.56,0
309335463,H14.09.026,HIP,19.68,10.76
309335482,H14.09.045,TCx,8.56,16.24
309335445,H14.09.008,HIP,14.28,13.84
326765678,H14.09.091,TCx,14.76,77.22
309335496,H14.09.059,TCx,24.5,280.04
309335467,H14.09.030,TCx,5.12,10.84
309335455,H14.09.018,HIP,251.34,9.64
326765653,H14.09.066,FWM,18.31,31.73
326765658,H14.09.071,FWM,0,13.69
309335493,H14.09.056,HIP,67.74,29.68
326765650,H14.09.063,FWM,13.02,41.88
309335450,H14.09.013,FWM,8.48,44.44
309335442,H14.09.005,HIP,35.42,14.56
309335470,H14.09.033,FWM,10.58,34.62
326765662,H14.09.075,FWM,7.24,28.28
326765677,H14.09.090,HIP,42.82,7.02
309335453,H14.09.016,FWM,12.78,81.67
326765651,H14.09.064,TCx,11.02,14.96
309335463,H14.09.026,FWM,5.42,37.28
326765653,H14.09.066,HIP,36.66,11.02
326765673,H14.09.086,PCx,13.28,29.9
309335483,H14.09.046,FWM,17.54,112.36
326765656,H14.09.069,HIP,39.32,10.14
326765675,H14.09.088,HIP,53.9,8.32
309335484,H14.09.047,HIP,24.46,15.02
309335488,H14.09.051,PCx,4.24,8.38
326765673,H14.09.086,FWM,8.6,19.56
326765679,H14.09.092,FWM,0.18,27.07
309335492,H14.09.055,TCx,8.42,40.36
309335444,H14.09.007,TCx,18.02,129.76
309335439,H14.09.002,HIP,112.92,11.6
309335481,H14.09.044,TCx,13.38,51.8
326765648,H14.09.061,FWM,8.33,16.25
309335446,H14.09.009,TCx,13.92,66.6
326765688,H14.09.101,PCx,15.08,116.05
309335485,H14.09.048,FWM,10.54,27.62
309335496,H14.09.059,PCx,,
309335455,H14.09.018,FWM,9.1,16.48
326765656,H14.09.069,PCx,6.18,13.38
326765661,H14.09.074,HIP,8.1,8.46
326765651,H14.09.064,FWM,7.72,23.8
309335490,H14.09.053,TCx,8.14,47.92
326765689,H14.09.102,PCx,5.82,13.54
309335495,H14.09.058,FWM,,
326765649,H14.09.062,PCx,21.12,131.64
309335457,H14.09.020,HIP,12.76,13.84
309335476,H14.09.039,TCx,18.7,86.84
326765660,H14.09.073,TCx,15.02,87.34
309335444,H14.09.007,HIP,25.52,17.9
467056409,H15.09.110,PCx,8.96,24.05
467056397,H15.09.104,FWM,4.62,0
309335447,H14.09.010,FWM,6.36,12.44
309335457,H14.09.020,FWM,,
309335475,H14.09.038,HIP,19.72,8.62
309335489,H14.09.052,FWM,12.8,42.84
326765654,H14.09.067,TCx,4.28,15.28
326765655,H14.09.068,TCx,10.08,57.82
326765673,H14.09.086,TCx,8.1,18.48
309335484,H14.09.047,FWM,21.58,103.72
326765676,H14.09.089,TCx,14.6,65.18
326765666,H14.09.079,TCx,6.24,12.54
326765684,H14.09.097,PCx,14.22,35.86
309335451,H14.09.014,HIP,15.4,10.12
309335490,H14.09.053,PCx,11.3,46.38
467056405,H15.09.106,HIP,110.7,14.06
326765660,H14.09.073,FWM,5.7,25.98
326765688,H14.09.101,HIP,,
309335438,H14.09.001,FWM,10.42,43.98
309335465,H14.09.028,HIP,19.64,2.78
309335452,H14.09.015,FWM,6.62,17.78
309335487,H14.09.050,FWM,6.14,26.98
309335458,H14.09.021,TCx,,
309335489,H14.09.052,TCx,2.58,13.7
309335444,H14.09.007,PCx,21.84,145.16
309335462,H14.09.025,HIP,,
309335481,H14.09.044,HIP,17.66,12.72
326765680,H14.09.093,PCx,13.31,69.63
467056391,H15.09.103,TCx,14.78,62.78
309335494,H14.09.057,FWM,,
326765648,H14.09.061,PCx,9.18,21.38
309335457,H14.09.020,PCx,,
326765650,H14.09.063,TCx,9.88,38.66
326765689,H14.09.102,FWM,8.02,21.92
309335484,H14.09.047,TCx,12.56,88.54
309335461,H14.09.024,TCx,8.92,32.66
326765686,H14.09.099,HIP,,
326765656,H14.09.069,TCx,5.32,19.1
309335455,H14.09.018,PCx,11.26,27.2
309335495,H14.09.058,TCx,14.78,67.96
309335438,H14.09.001,PCx,10.26,56.28
309335493,H14.09.056,PCx,30.22,185.18
326765661,H14.09.074,TCx,4.64,16.22
326765665,H14.09.078,HIP,3.7,12.78
467056408,H15.09.109,PCx,19.62,169.2
326765678,H14.09.091,HIP,176.88,11.14
309335471,H14.09.034,TCx,,
326765667,H14.09.080,PCx,22.18,110.66
326765681,H14.09.094,FWM,12.8,12.14
326765683,H14.09.096,FWM,11.3,41.28
309335440,H14.09.003,HIP,,
467056407,H15.09.108,TCx,7.78,34.41
326765664,H14.09.077,PCx,,
309335452,H14.09.015,TCx,7.82,14.48
309335488,H14.09.051,FWM,6,11.76
309335469,H14.09.032,TCx,11.86,69.26
309335439,H14.09.002,TCx,8.06,23.44
309335447,H14.09.010,HIP,11.14,6.72
